Date,Ticker,ret_5d,ret_10d,ret_21d,ret_63d,zscore,y
2002-01-30,S5SFTW,0.024211521750265176,0.0536089268867305,0.014196269835089786,0.014196269835089786,2.5879849486985706e-15,1.0
2002-01-30,S5PHRM,0.026884798947808593,0.013119617770607859,0.022309627568435082,0.022309627568435082,-1.103482832080371e-15,0.0
2002-01-30,S5CPGS,0.012042622638808185,0.004724850837294402,0.087812632128266,0.087812632128266,-2.717819026860266e-15,0.0
2002-01-30,S5ENRSX,0.004105778288375462,-0.011081400795259893,0.034325944473902865,0.034325944473902865,-2.1881184913915483e-15,0.0
2002-01-30,S5FDBT,0.01206764903961514,-0.0026593234401494593,0.005203171475757799,0.005203171475757799,6.896357185029044e-16,0.0
2002-01-30,S5TECH,-0.022183173374213168,0.009866182921053979,-0.0046061222870403635,-0.0046061222870403635,7.148991233651558e-16,1.0
2002-01-30,S5RETL,-0.003055510779870434,-0.04598478090555431,-0.009536857023220791,-0.009536857023220791,-6.6764689381987925e-16,0.0
2002-01-30,S5BANKX,0.02245830388603032,-0.0027264429927746714,0.0033718721735163906,0.0033718721735163906,8.955451553253905e-16,0.0
2002-01-30,S5HCES,0.018470826183020986,0.0029521527037281088,0.018309568371746444,0.018309568371746444,-1.818274776233251e-15,0.0
2002-01-30,S5DIVF,0.041355268579004734,0.04223152125683833,0.04392591619546856,0.04392591619546856,-1.0763925065314478e-16,0.0
2002-01-30,S5UTILX,0.03795991274893826,0.0661724138909618,0.07810235574703002,0.07810235574703002,-2.8270205052525888e-15,0.0
2002-01-30,S5MEDA,0.03017508127553901,0.060305020006130194,0.0984303323615042,0.0984303323615042,-3.4919870892667135e-15,0.0
2002-01-30,S5REAL,0.02176422230403916,0.030130721640460725,0.041830394361115554,0.041830394361115554,-5.76321112074669e-15,0.0
2002-01-30,S5TELSX,0.04269942567382989,0.06131332974251776,0.10086959380332859,0.10086959380332859,-2.8674094842030614e-15,1.0
2002-01-30,S5MATRX,-0.03907229554219932,-0.06613009371955093,0.006642035136366525,0.006642035136366525,-5.516009411126321e-16,0.0
2002-01-30,S5INSU,0.040148831183825555,0.052636940237910025,0.06559150014115148,0.06559150014115148,-3.1998197675266505e-15,0.0
2002-01-30,S5FDSR,-0.01219210952046737,-0.019132489635139992,-0.013367274505224057,-0.013367274505224057,1.1916048083671981e-15,0.0
2002-01-30,S5HOUS,-0.006680503472005287,0.000547679747433136,0.009937813720342257,0.009937813720342257,2.1677964972908133e-16,0.0
2002-01-30,S5SSEQX,-0.05680458374265622,-0.028511301339131552,-0.06782958622718857,-0.06782958622718857,1.0529566789322816e-15,1.0
2002-01-30,S5TRAN,-0.02355689412644418,-0.07183393921138978,-0.05188711712607879,-0.05188711712607879,9.849733289210705e-16,0.0
2002-01-30,S5HOTR,-0.0017531199705089098,-0.027630828378629593,-0.027948641824813356,-0.027948641824813356,1.1350015356185922e-15,0.0
2002-01-30,S5CODU,-0.03713211175645772,-0.05748211700697377,-0.028524643602330965,-0.028524643602330965,3.694371146613909e-15,0.0
2002-01-30,S5AUCO,-0.03748238751876557,-0.035093739481251336,-0.007002782127162863,-0.007002782127162863,0.0,0.0
2002-01-30,S5COMS,0.026961365220028705,0.03130074479269487,0.04697880743847752,0.04697880743847752,-2.5903957461327286e-15,0.0
2002-01-31,S5SFTW,0.023880442489813095,0.07055842790846341,0.005625397557866017,-0.0031899948865224967,-5.142184430337938e-16,1.0
2002-01-31,S5PHRM,0.0037165523859748924,0.002629056120495947,0.012936242323186443,0.013591550341394533,-1.6871640313901968e-15,0.0
2002-01-31,S5CPGS,0.005806107296828731,0.00569822661276053,0.07642776067156834,0.07283612832598667,-3.4430150638204626e-15,0.0
2002-01-31,S5ENRSX,-0.002076743640792484,-0.024023419846938746,0.017883234549152065,0.019256633453197745,-3.1189920039728414e-15,0.0
2002-01-31,S5FDBT,-0.008296064549968568,-0.0038566504391536354,0.0018759091933649062,-0.005035423237550605,-1.0975064941632416e-15,0.0
2002-01-31,S5TECH,-0.019718816317823563,0.023196916415152168,0.01970279968134386,-0.018484814674102987,-7.382480728211986e-16,1.0
2002-01-31,S5RETL,-0.019015460912110992,-0.050976110042050264,-0.025120346649582286,-0.021778011618824023,0.0,0.0
2002-01-31,S5BANKX,0.01819913991790495,-0.009962212649662006,-0.01684336830667547,-0.01174676303917494,-7.220794167476185e-16,0.0
2002-01-31,S5HCES,-0.009384802506836923,-0.015826967818586064,-0.014886599370198272,-0.0013698632279138194,-8.850380655728003e-16,0.0
2002-01-31,S5DIVF,0.0280546920321274,0.04261077414586983,0.03229892774056198,0.030774565539560178,-8.52904621438156e-16,0.0
2002-01-31,S5UTILX,0.025190248828558495,0.03297789880624251,0.0744202932223167,0.06134465064869471,-3.6632275475562594e-15,0.0
2002-01-31,S5MEDA,0.025468232491380194,0.06010134305963451,0.09062929531690295,0.0920830774249048,-3.4908850118615535e-15,0.0
2002-01-31,S5REAL,0.015933609830404746,0.02774560120489809,0.049010859772069794,0.046132864158269005,-2.0871545280983462e-15,0.0
2002-01-31,S5TELSX,0.028221243382381037,0.04619028189190046,0.10449885713872001,0.08494236416429773,-5.044773871583797e-15,1.0
2002-01-31,S5MATRX,-0.03976727022670561,-0.08463122963784372,-0.016903488960455817,-0.018632227787772144,2.7338931731802736e-16,0.0
2002-01-31,S5INSU,0.014519137578644004,0.02845565885827812,0.026767208704163794,0.03573951102044841,-1.392018953993104e-15,0.0
2002-01-31,S5FDSR,-0.0038547246634289406,-0.016203758970073232,-0.029719547003150354,-0.018596156640009947,1.342296435793518e-16,0.0
2002-01-31,S5HOUS,-0.039776309241033335,-0.023583163946181956,-0.015604675957937963,-0.018437893135847472,7.522149340988777e-16,0.0
2002-01-31,S5SSEQX,-0.05768876555839238,-0.023021802699120547,-0.04133537292807862,-0.08651913686958514,2.175960889056246e-15,1.0
2002-01-31,S5TRAN,-0.030930300691358614,-0.06867439259365017,-0.07177879977906589,-0.06781094433420004,-1.5715628947533813e-15,0.0
2002-01-31,S5HOTR,-0.034680812252526415,-0.03223027790491336,-0.054451074234088966,-0.0494055208687483,-7.755507395732311e-16,0.0
2002-01-31,S5CODU,-0.026183538000807145,-0.049390831003691814,-0.03779879965041714,-0.03385961548159442,0.0,0.0
2002-01-31,S5AUCO,-0.06007215512173135,-0.0501672587180191,-0.015746246477629462,-0.025928251359047666,3.349405477261607e-16,0.0
2002-01-31,S5COMS,0.012537578811978792,0.013827575906092873,0.01930551023048004,0.026249403920832748,-3.2043400012747167e-15,0.0
2002-02-01,S5SFTW,0.023375377683307396,0.039705955604907174,0.06028952726120159,0.013815075421325164,-1.1040956586619928e-15,1.0
2002-02-01,S5PHRM,-0.0038644413246288994,-0.007410080219456255,0.002882663496111533,0.011317368421719941,-6.275119231152262e-16,0.0
2002-02-01,S5CPGS,0.023267252865005698,0.010682209945059267,0.07181177176851967,0.07261914582839012,0.0,0.0
2002-02-01,S5ENRSX,0.0011045214463596884,-0.03490943580129015,0.009230761193288315,0.015164088199908393,-1.059362643198065e-15,0.0
2002-02-01,S5FDBT,-0.0072854074207136885,-0.0024851723103974043,-0.007426940221176395,-0.007379760395261091,1.017495122219021e-15,0.0
2002-02-01,S5TECH,0.0036521670215068427,0.0077919207853254435,0.09104583003381206,-0.002526529893749498,-4.619356584196606e-16,1.0
2002-02-01,S5RETL,-0.021588612041343113,-0.037349815792326706,-0.014560528501306522,-0.008151717369100494,-1.7439151605720428e-16,0.0
2002-02-01,S5BANKX,0.030799688758616252,-0.0033974534644443106,-0.0026071161554666105,-0.0026071161554666105,3.8464990229827745e-15,0.0
2002-02-01,S5HCES,-0.013947114383914244,-0.019104718940163405,-0.025031881795683737,-0.0013698632279138194,-2.2607822812475135e-16,1.0
2002-02-01,S5DIVF,0.04360004891228869,0.05523877141007094,0.05956630769683218,0.04719707453120299,-8.439409744657164e-16,0.0
2002-02-01,S5UTILX,0.016226662757125285,0.02516035802183396,0.05848057796079018,0.05444431457105383,-1.6078987044518858e-15,0.0
2002-02-01,S5MEDA,0.027504919144992833,0.05211930738577578,0.09697729195976029,0.098875707151746,-2.4388894255570358e-15,0.0
2002-02-01,S5REAL,0.012958682009489601,0.022700393950702204,0.056475488737475786,0.046132864158269005,-3.079338319674243e-16,0.0
2002-02-01,S5TELSX,0.03324800131698101,0.0469593967422975,0.13341628471072647,0.10047488292391941,-3.1706397274545595e-15,1.0
2002-02-01,S5MATRX,-0.011206691809561442,-0.08041424771124898,0.005334926701880277,-0.01248474333111957,5.489171302770273e-16,0.0
2002-02-01,S5INSU,0.03148989076889596,0.032617639776334244,0.028916371475132884,0.04205946240799767,-7.191347760395893e-16,0.0
2002-02-01,S5FDSR,0.01703398309326385,-0.0057139273948350775,-0.004184106522573985,-0.0013056536650487799,-2.407437029523546e-16,0.0
2002-02-01,S5HOUS,-0.03142182520735334,-0.029868997280178347,-0.0278581042690865,-0.024807601496104045,1.1578334214988106e-15,0.0
2002-02-01,S5SSEQX,-0.030373798211676097,-0.03989719208658543,0.04502330829092572,-0.07527223800263376,0.0,0.0
2002-02-01,S5TRAN,-0.008522914890744034,-0.0626649396682706,-0.02843518466599229,-0.06281723552865587,-1.0658758523419973e-15,0.0
2002-02-01,S5HOTR,-0.024437110794370276,-0.01882103514895662,-0.023490141026634312,-0.030932183132632164,9.057811430732105e-16,0.0
2002-02-01,S5CODU,-0.016454315566287955,-0.04851566512845492,-0.03294743965679497,-0.03058579170407104,9.204498171098407e-16,0.0
2002-02-01,S5AUCO,-0.040010817009725565,-0.05104589648210229,0.009624456059359418,-0.0157718096507541,1.680585737284871e-16,0.0
2002-02-01,S5COMS,0.029777593840028302,0.028985872936827785,0.04202562604705357,0.050699093075640626,5.924426057578041e-16,0.0
